,Atom Details,Label,Acceptor H-Bonds,Donor H-Bonds,Hydrophobic Interactions
Ppar_atom_1,/ppara//B/WAT`2/O,Donor,120,0,NA
Ppar_atom_2,/ppara//B/WAT`3/N,Acceptor,120,0,NA
Ppar_atom_3,/ppara//G/WAT`1/C,Grease,NA,NA,159
Ppar_atom_4,/ppara//G/WAT`4/C,Grease,NA,NA,136
Ppar_atom_5,/ppara//G/WAT`5/C,Grease,NA,NA,164
Ppar_atom_6,/ppara//G/WAT`6/C,Grease,NA,NA,131
Ppar_atom_7,/ppara//G/WAT`7/C,Grease,NA,NA,206
Ppar_atom_8,/ppara//G/WAT`8/C,Grease,NA,NA,211
Ppar_atom_9,/ppara//G/WAT`9/C,Grease,NA,NA,152
Ppar_atom_10,/ppara//G/WAT`10/C,Grease,NA,NA,108
